1	The	_	_	_	_	_	_	3	3	det	det	_	_	_	_	_
2	actual	_	_	_	_	_	_	3	3	amod	amod	_	_	ARGM-ADJ	_	_
3	vote	_	_	_	_	_	_	7	7	nsubj	nsubj	Y	vote.01	_	ARG1	ARG0
4	is	_	_	_	_	_	_	7	7	cop	cop	Y	be.01	_	_	_
5	a	_	_	_	_	_	_	6	6	det	det	_	_	_	_	_
6	little	_	_	_	_	_	_	7	7	obl:npmod	obl:npmod	_	_	_	_	ARGM-EXT
7	confusing	_	_	_	_	_	_	0	0	root	root	Y	confuse.01	_	ARG2	_
8	.	_	_	_	_	_	_	7	7	punct	punct	_	_	_	_	_

1	What	_	_	_	_	_	_	0	0	root	root	_	_	_
2	if	_	_	_	_	_	_	4	4	mark	mark	_	_	_
3	Google	_	_	_	_	_	_	4	4	nsubj	nsubj	_	_	ARG1
4	Morphed	_	_	_	_	_	_	1	1	advcl	advcl	Y	morph.01	_
5	Into	_	_	_	_	_	_	6	6	case	case	_	_	_
6	GoogleOS	_	_	_	_	_	_	4	4	obl	obl	_	_	ARG2
7	?	_	_	_	_	_	_	4	4	punct	punct	_	_	_

1	What	_	_	_	_	_	_	0	0	root	root	_	_	_
2	if	_	_	_	_	_	_	4	4	mark	mark	_	_	_
3	Google	_	_	_	_	_	_	4	4	nsubj	nsubj	_	_	ARG0
4	expanded	_	_	_	_	_	_	1	1	advcl	advcl	Y	expand.01	_
5	on	_	_	_	_	_	_	15	15	case	case	_	_	_
6	its	_	_	_	_	_	_	15	15	nmod:poss	nmod:poss	_	_	_
7	search	_	_	_	_	_	_	9	9	compound	compound	_	_	_
8	-	_	_	_	_	_	_	9	9	punct	punct	_	_	_
9	engine	_	_	_	_	_	_	15	15	compound	compound	_	_	_
10	(	_	_	_	_	_	_	9	9	punct	punct	_	_	_
11	and	_	_	_	_	_	_	13	13	cc	cc	_	_	_
12	now	_	_	_	_	_	_	13	13	advmod	advmod	_	_	_
13	e-mail	_	_	_	_	_	_	9	9	conj	conj	_	_	_
14	)	_	_	_	_	_	_	15	15	punct	punct	_	_	_
15	wares	_	_	_	_	_	_	4	4	obl	obl	_	_	ARG1
16	into	_	_	_	_	_	_	22	22	case	case	_	_	_
17	a	_	_	_	_	_	_	22	22	det	det	_	_	_
18	full	_	_	_	_	_	_	20	20	advmod	advmod	_	_	_
19	-	_	_	_	_	_	_	20	20	punct	punct	_	_	_
20	fledged	_	_	_	_	_	_	22	22	amod	amod	_	_	_
21	operating	_	_	_	_	_	_	22	22	compound	compound	_	_	_
22	system	_	_	_	_	_	_	4	4	obl	obl	_	_	ARG4
23	?	_	_	_	_	_	_	4	4	punct	punct	_	_	_

1	[	_	_	_	_	_	_	4	4	punct	punct	_	_	_
2	via	_	_	_	_	_	_	4	4	case	case	_	_	_
3	Microsoft	_	_	_	_	_	_	4	4	compound	compound	_	_	_
4	Watch	_	_	_	_	_	_	0	0	root	root	_	_	_
5	from	_	_	_	_	_	_	6	6	case	case	_	_	_
6	Mary	_	_	_	_	_	_	4	4	nmod	nmod	_	_	_
7	Jo	_	_	_	_	_	_	6	6	flat	flat	_	_	_
8	Foley	_	_	_	_	_	_	6	6	flat	flat	_	_	_
9	]	_	_	_	_	_	_	4	4	punct	punct	_	_	_

